master_project_code,fiscal_year,quarter,team_size_fte,manager_fte
MLDCNE87,2026,1,4.0,0.0
MLDCNE87,2026,2,4.0,0.0
MLDCNE87,2026,3,4.0,0.0
MLDGTOFF,2025,4,10.0,0.0
MLDGTOFF,2026,1,10.0,0.0
MLDGTOFF,2026,2,7.85,0.0
MLDGTOFF,2026,3,4.0,0.0
MLDGTONN,2025,4,4.0,4.0
MLDGTONN,2026,1,4.0,4.0
MLDGTONN,2026,2,4.0,4.0
MLDGTONN,2026,3,4.0,4.0
MLDS150N,2024,2,2.65,0.0
MLDS150N,2024,3,4.0,0.0
MLDS150N,2024,4,4.0,0.0
MLEBHSTP,2025,1,18.51,1.85
MLEBHSTP,2025,2,42.25,2.68
MLEBHSTP,2025,3,30.07,4.0
MLEBHSTP,2025,4,26.64,2.41
MLECAMST,2023,4,22.58,0.52
MLECAMST,2024,1,72.85,1.0
MLECAMST,2024,2,76.71,1.0
MLECAMST,2024,3,76.89,5.59
MLECAMST,2024,4,1.23,0.0
MLECLSTP,2025,4,3.82,0.0
MLED2STP,2025,2,7.83,0.0
MLED2STP,2025,3,29.61,0.0
MLEDFSTP,2024,3,16.85,0.34
MLEENCTR,2025,3,34.24,1.33
MLEIMQNX,2025,3,3.22,0.0
MLEMSA25,2025,4,33.8,0.0
MLEMSA25,2026,1,23.19,0.0
MLEMSA25,2026,2,14.7,0.0
MLEMSA25,2026,3,12.0,0.0
MLEN2MST,2023,4,16.23,1.77
MLEN2MST,2024,1,26.6,3.0
MLEN2MST,2024,2,9.51,1.01
MLENCHZ3,2023,2,1.43,0.52
MLENCHZ3,2023,3,15.0,4.0
MLENCOFF,2023,2,1.57,0.0
MLENCOFF,2023,3,12.0,0.0
MLENRSTP,2024,4,21.05,0.0
MLENRSTP,2025,1,20.0,0.0
MLENRSTP,2025,2,4.04,0.0
MLENTR25,2025,4,17.24,0.0
MLENTR25,2026,1,11.96,0.0
MLENTR25,2026,2,8.0,0.0
MLENTR25,2026,3,6.65,0.0
MLESMBLR,2023,3,17.78,0.0
MLESMBLR,2023,4,31.02,0.0
MLESMBLR,2024,1,4.62,0.0
MLHIESTP,2025,2,1.17,0.29
MLHIESTP,2025,3,11.73,0.0
MLHIXSTP,2025,4,3.19,0.0
MLHIXSTP,2026,1,1.65,0.0
MLHLBDNA,2024,3,38.47,3.83
MLINTCST,2024,4,5.45,0.0
MLIWAMST,2023,3,13.39,0.28
MLIWAMST,2023,4,62.42,3.11
MLIWAMST,2024,1,61.04,4.0
MLIWAMST,2024,2,59.37,5.99
MLIWAMST,2024,3,17.5,1.66
MLMCBLMS,2024,2,6.3,0.0
MLMCBLMS,2024,3,36.35,0.0
MLMDIMST,2023,3,5.61,0.0
MLOFBBSP,2025,1,7.6,0.0
MLOFBBSP,2025,2,9.26,0.0
MLONHCMB,2024,4,2.11,0.0
MLONHCP2,2024,4,23.25,0.0
MLONHCP2,2025,1,48.69,0.0
MLONHCP2,2025,2,36.09,1.35
MLONHCP2,2025,3,4.74,0.0
MLOREDWD,2025,3,40.77,2.87
MLOREDWD,2025,4,53.49,3.87
MLOREDWD,2026,1,22.66,2.68
MLPIAMST,2024,1,24.03,0.85
MLPIAMST,2024,2,59.97,7.39
MLPIAMST,2024,3,28.04,4.48
MLPRSNOW,2023,2,1.74,0.0
MLQBRSTP,2024,3,31.93,4.18
MLQBRSTP,2024,4,41.7,4.32
MLQBRSTP,2025,1,58.88,3.73
MLQNXSTP,2025,4,37.11,0.0
MLQNXSTP,2026,1,28.7,0.0
MLQNXSTP,2026,2,10.7,0.0
MLRWDBSP,2025,1,0.62,0.0
MLRWDBSP,2025,2,0.52,0.0
MLTMFSTP,2025,1,8.75,0.0
MLTMFSTP,2025,2,10.0,0.0
MLTMFSTP,2025,3,10.0,0.0
MLTMOSTP,2025,1,3.47,3.47
MLTMOSTP,2025,2,3.22,3.22
MLTMOSTP,2025,3,4.0,4.0
MLVBP786,2025,4,9.14,0.0
MLVBP786,2026,1,32.69,0.0
MLVBP786,2026,2,16.17,0.0
MLVBP786,2026,3,11.75,0.0
MNILAMC4,2022,1,80.18,4.0
MNILAMC4,2022,2,72.0,4.0
MO1125MZ,2022,1,3.21,0.0
MO1125MZ,2022,2,5.22,0.0
MO1125MZ,2022,3,8.0,0.0
MO1309B2,2024,4,16.53,0.0
MO1309B2,2025,1,3.96,0.0
MO1309B2,2025,4,1.33,0.0
MO1310B2,2024,4,10.2,0.0
MO1310B2,2025,1,3.96,0.0
MO1310B2,2025,2,0.74,0.0
MO1347QB,2025,4,0.69,0.0
MO1546B2,2025,3,19.9,0.1
MO1566MZ,2025,3,11.87,0.0
MO1566MZ,2025,4,21.89,0.0
MO1566MZ,2026,1,7.97,0.0
MO1568B2,2025,3,11.57,0.0
MO1577B2,2025,3,28.12,0.49
MO1618QB,2025,4,0.34,0.0
MO1619QB,2025,4,0.39,0.0
MO1621QB,2025,4,0.69,0.0
MO1696B2,2025,4,12.6,0.28
MO1709QB,2025,4,1.38,0.0
MO1738QB,2025,4,17.04,0.0
MO1788QB,2025,4,13.87,0.0
MO1788QB,2026,1,10.3,0.0
MO295ILS,2023,3,1.35,0.0
MO295ILS,2023,4,4.0,0.0
MO295ILS,2024,1,4.0,0.0
MO295ILS,2024,2,4.0,0.0
MO295ILS,2024,3,1.35,0.0
MO61IOBA,2023,3,17.26,0.0
MO61IOBA,2023,4,28.0,0.0
MO61IOBA,2024,1,28.0,0.0
MO73CAON,2023,3,15.29,0.0
MO73CAON,2023,4,27.0,0.0
MO73CAON,2024,1,27.0,0.0
MO83IWOF,2023,3,1.3,0.0
MO87CAOB,2023,3,5.3,0.0
MO87CAOB,2023,4,7.91,0.0
MO87CAOB,2024,1,7.56,0.0
MOAMBPMM,2022,3,59.62,1.0
MOAMBPMM,2022,4,123.03,1.0
MOAMBPMM,2023,1,125.67,1.0
MOAMBPMM,2023,2,138.01,1.0
MOAMBPMM,2023,3,128.48,1.0
MOAMBPMM,2023,4,110.2,1.0
MOAMBPMM,2024,1,94.31,1.7
MOAMBPMM,2024,2,102.22,2.17
MOAMBPMM,2024,3,87.17,1.0
MOAMBPMM,2024,4,106.76,1.0
MOAMBPMM,2025,1,121.8,1.0
MOAMBPMM,2025,2,102.57,1.0
MOAMBPMM,2025,3,114.53,0.66
MOAMBPMM,2025,4,125.06,0.0
MOAMBPMM,2026,1,91.2,0.0
MOAMBPMM,2026,2,66.59,0.0
MOAVIMQZ,2023,4,5.71,0.42
MOAVIMQZ,2024,1,57.95,0.19
MOAVIMQZ,2024,2,23.62,0.0
MOAVIMQZ,2024,3,5.61,0.0
MOAVPMQZ,2023,2,20.88,0.34
MOAVPMQZ,2023,3,2.65,0.0
MOAVPMQZ,2023,4,0.44,0.0
MOBANBI2,2023,4,4.18,0.0
MOBANBI2,2024,1,0.66,0.0
MOBAOBI2,2023,4,3.33,0.0
MOBAOBI2,2024,1,4.0,0.0
MOBAOBI2,2024,2,4.0,0.0
MOBAOBI2,2024,3,4.0,0.0
MOBAOBI2,2024,4,3.96,0.0
MOBAOBI2,2025,1,4.0,0.0
MOBAOBI2,2025,2,3.7,0.0
MOBAOBI2,2025,3,8.0,0.0
MOBAOBI2,2025,4,8.0,0.0
MOBAOBIJ,2025,1,1.32,0.0
MOBAOBIJ,2025,2,4.0,0.0
MOBAOBIJ,2025,3,4.0,0.0
MOBAOBIJ,2025,4,4.0,0.0
MOBAOBIK,2025,3,4.0,0.0
MOBAOBIK,2025,4,4.0,0.0
MOBAOBIM,2025,1,1.32,0.0
MOBAOBIM,2025,2,4.0,0.0
MOBAOBIM,2025,3,4.0,0.0
MOBAOBIM,2025,4,1.02,0.0
MOBAOBIS,2025,1,1.32,0.0
MOBAOBIS,2025,2,4.0,0.0
MOBAOBIS,2025,3,4.0,0.0
MOBAOBIS,2025,4,4.0,0.0
MOCTTMQZ,2023,1,109.07,5.34
MOCTTMQZ,2023,2,173.34,8.0
MODULARC,2025,4,0.67,0.0
MODXCMS3,2023,1,25.23,0.0
MODXMPMZ,2022,4,69.0,2.23
MOECMOZ1,2022,2,71.85,5.89
MOECMOZ1,2022,3,72.38,5.4
MOECMOZ2,2022,2,23.58,2.71
MOECMOZ2,2022,3,31.15,5.8
MOECMOZ3,2022,2,8.35,0.35
MOECMOZ3,2022,3,9.27,0.4
MOECMOZ4,2022,2,10.93,0.15
MOECMOZ4,2022,3,10.85,0.2
MOECMOZ5,2022,2,9.42,0.2
MOECMOZ5,2022,3,4.07,0.2
MOECMOZ6,2022,4,81.62,4.58
MOECMOZ6,2023,1,2.68,0.0
MOECMOZ6,2023,2,17.9,0.0
MOECMOZ6,2023,3,34.54,1.0
MOECMOZ7,2023,1,10.68,0.0
MOECMOZ8,2022,4,25.91,1.69
MOECMOZ8,2023,1,78.37,8.0
MOECMOZ9,2022,4,17.57,0.34
MOECMOZ9,2023,1,68.11,1.0
MOESADMZ,2022,1,105.12,3.05
MOHA2MQZ,2023,4,84.16,0.0
MOIALMQZ,2023,4,4.84,0.0
MOIALMQZ,2024,1,33.01,2.2
MOIALMQZ,2024,2,15.74,1.78
MOICAETB,2022,4,6.89,1.38
MOICAETB,2023,1,19.52,4.0
MOICAETB,2023,2,20.0,4.0
MOICAETB,2023,3,3.13,0.0
MOINTFCL,2024,3,0.61,0.0
MOINTFCL,2024,4,13.65,0.0
MOKYMDSZ,2025,4,3.2,0.0
MOKYMDSZ,2026,1,4.18,0.0
MOL016BA,2024,4,7.52,0.0
MOL017AN,2024,3,1.91,0.0
MOL017AN,2024,4,4.0,0.0
MOL018JN,2024,3,2.65,0.0
MOL018JN,2024,4,4.0,0.0
MOL018JN,2025,1,2.86,0.0
MOL018JN,2025,2,4.0,0.0
MOL018JN,2025,3,4.0,0.0
MOL018JN,2025,4,4.0,0.0
MOL018JN,2026,1,4.0,0.0
MOL018JN,2026,2,4.0,0.0
MOL018JN,2026,3,1.35,0.0
MOL099BA,2024,2,12.74,0.0
MOL099BA,2024,3,4.74,0.0
MOL099BA,2024,4,5.54,0.0
MOL126NS,2024,3,2.65,0.0
MOL126NS,2024,4,4.0,0.0
MOL126NS,2025,1,2.99,0.0
MOL150DS,2023,4,2.09,0.0
MOL150DS,2024,1,4.0,0.0
MOL150DS,2024,2,1.35,0.0
MOL17ONA,2023,3,1.35,0.0
MOL17ONA,2023,4,4.0,0.0
MOL17ONA,2024,1,4.0,0.0
MOL17ONA,2024,2,4.0,0.0
MOL17ONA,2024,3,1.35,0.0
MOL18ONJ,2023,3,1.35,0.0
MOL18ONJ,2023,4,4.0,0.0
MOL18ONJ,2024,1,4.0,0.0
MOL18ONJ,2024,2,4.0,0.0
MOL18ONJ,2024,3,1.35,0.0
MOL196BA,2024,3,3.65,0.0
MOL241PM,2024,3,1.35,0.0
MOL241PM,2024,4,4.0,0.0
MOL241PM,2025,1,4.0,0.0
MOL241PM,2025,2,4.0,0.0
MOL241PM,2025,3,4.0,0.0
MOL241PM,2025,4,1.91,0.0
MOL271KN,2024,2,4.0,0.0
MOL271KN,2024,3,0.87,0.0
MOL278MS,2023,4,7.96,0.53
MOL278MS,2024,1,31.31,2.31
MOL278MS,2024,2,2.0,0.91
MOL295SN,2024,3,2.65,0.0
MOL295SN,2024,4,4.0,0.0
MOL295SN,2025,1,4.0,0.0
MOL295SN,2025,2,4.0,0.0
MOL295SN,2025,3,3.35,0.0
MOL295SN,2025,4,4.0,0.0
MOL295SN,2026,1,4.0,0.0
MOL295SN,2026,2,4.0,0.0
MOL295SN,2026,3,1.35,0.0
MOL308BA,2024,4,4.0,0.0
MOL308BA,2025,1,4.0,0.0
MOL308BA,2025,2,4.0,0.0
MOL311PM,2024,4,3.82,0.0
MOL311PM,2025,1,4.0,0.0
MOL311PM,2025,2,4.0,0.0
MOL311PM,2025,3,4.0,0.0
MOL311PM,2025,4,4.0,0.0
MOL311PM,2026,1,4.0,0.0
MOL311PM,2026,2,4.0,0.0
MOL311PM,2026,3,4.0,0.0
MOL331TM,2024,4,2.64,0.0
MOL331TM,2025,1,4.0,0.0
MOL331TM,2025,2,2.7,0.0
MOL332TM,2024,4,2.64,2.64
MOL340TM,2024,4,8.09,0.0
MOL362TM,2024,4,1.36,0.0
MOL362TM,2025,1,4.0,0.0
MOL362TM,2025,2,4.0,0.0
MOL362TM,2025,3,4.0,0.0
MOL362TM,2025,4,4.0,0.0
MOL362TM,2026,1,4.0,0.0
MOL362TM,2026,2,2.0,0.0
MOL367TM,2025,1,11.34,0.0
MOL367TM,2025,2,12.0,0.0
MOL367TM,2025,3,11.17,0.0
MOL367TM,2025,4,11.47,0.0
MOL367TM,2026,1,8.57,0.0
MOL367TM,2026,2,4.0,0.0
MOL368TM,2024,4,1.23,1.23
MOL380TM,2025,1,1.14,0.0
MOL414BA,2025,1,2.46,0.0
MOL414BA,2025,2,4.0,0.0
MOL414BA,2025,3,3.52,0.0
MOL55TON,2023,3,1.35,0.0
MOL55TON,2023,4,4.0,0.0
MOL55TON,2024,1,4.0,0.0
MOL55TON,2024,2,2.7,0.0
MOL576AG,2025,3,14.74,0.0
MOL576AG,2025,4,19.78,0.0
MOL576AG,2026,1,16.57,0.0
MOL576AG,2026,2,5.39,0.0
MOL613BA,2025,3,3.83,0.0
MOL614PC,2025,3,3.83,0.0
MOL614PC,2025,4,3.11,0.0
MOL92NEB,2023,3,1.48,0.0
MOL92NEB,2023,4,31.56,0.0
MOL92NEB,2024,1,31.38,0.0
MOLADAM2,2022,1,21.23,0.0
MOLADAM2,2022,2,6.62,0.0
MOLAE2EC,2025,2,6.91,0.0
MOLAE2EC,2025,3,46.44,0.0
MOLAEHMZ,2023,3,381.89,10.58
MOLAEHMZ,2023,4,321.63,7.31
MOLAEHMZ,2024,1,167.59,12.26
MOLAEHMZ,2024,2,96.63,2.01
MOLAEHMZ,2024,3,76.77,0.0
MOLAEHMZ,2024,4,405.71,22.38
MOLAEHMZ,2025,1,461.69,36.01
MOLAEHMZ,2025,2,1566.18,71.11
MOLAEHMZ,2025,3,128.76,1.72
MOLAEHMZ,2025,4,7.29,0.0
MOLAFUSP,2022,2,2.09,0.0
MOLAIHSP,2023,3,4.43,0.0
MOLALE25,2025,4,2.98,0.38
MOLALE25,2026,1,2.68,1.34
MOLAMAM2,2022,1,2072.54,113.44
MOLAMAM2,2022,2,1999.58,99.47
MOLAMAM2,2022,3,2021.86,92.34
MOLAMAM2,2022,4,2285.88,122.14
MOLAMAM2,2023,1,2357.81,125.62
MOLAMAM2,2023,2,2439.89,122.83
MOLAMAM2,2023,3,2269.31,112.17
MOLAMAM2,2023,4,2476.11,139.99
MOLAMAM2,2024,1,2452.36,118.76
MOLAMAM2,2024,2,2528.71,129.42
MOLAMAM2,2024,3,2760.62,154.57
MOLAMAM2,2024,4,3031.97,156.57
MOLAMAM2,2025,1,3048.58,149.36
MOLAMAM2,2025,2,2991.92,144.32
MOLAMAM2,2025,3,2812.67,125.68
MOLAMAM2,2025,4,2724.58,118.75
MOLAMAM2,2026,1,2205.96,93.97
MOLAMAM2,2026,2,1671.24,75.37
MOLAMAM2,2026,3,351.43,35.35
MOLAMAM2,2026,4,11.11,0.0
MOLAMSUG,2023,2,3.39,0.0
MOLAMSUG,2023,3,6.09,0.0
MOLAN2CL,2025,3,4.21,0.0
MOLAN2CL,2025,4,25.83,0.0
MOLAN2CL,2026,1,6.75,0.0
MOLAOMOH,2025,2,1.35,0.0
MOLAOMOH,2025,3,4.0,0.0
MOLAQSEC,2025,4,2.62,0.0
MOLAQSEC,2026,1,1.32,0.0
MOLASMZ1,2022,1,130.58,5.31
MOLASMZ1,2022,2,120.9,7.0
MOLASMZ1,2022,3,81.09,3.74
MOLASMZ1,2022,4,41.34,0.77
MOLASSSP,2023,2,0.83,0.0
MOLASSSP,2023,3,1.52,0.0
MOLAVBA2,2022,1,4.0,0.0
MOLAVBA2,2022,2,4.0,0.0
MOLAVBA2,2022,3,4.0,0.0
MOLAVBA2,2022,4,4.0,0.0
MOLAVBA2,2023,1,0.66,0.0
MOLAVDQZ,2025,3,26.99,0.0
MOLAVI1Z,2025,4,21.57,0.0
MOLAVMQZ,2025,2,19.07,0.0
MOLAVMQZ,2025,3,45.56,8.32
MOLAVPMZ,2025,4,15.71,2.07
MOLAVXIM,2024,2,0.26,0.0
MOLAVXIM,2024,3,18.58,1.61
MOLAVXIM,2024,4,1.36,0.68
MOLAZDBC,2023,2,6.13,0.0
MOLAZDBC,2023,3,9.26,0.0
MOLAZSTP,2022,1,7.52,0.0
MOLBA042,2024,2,14.65,0.0
MOLBA042,2024,3,16.0,0.0
MOLBA042,2024,4,15.21,0.0
MOLBA042,2025,1,4.22,0.0
MOLBA042,2025,2,4.0,0.0
MOLBA042,2025,3,1.7,0.0
MOLBA100,2024,2,4.0,0.0
MOLBA100,2024,3,2.09,0.0
MOLBA103,2024,2,55.7,0.0
MOLBA103,2024,3,48.17,0.0
MOLBA103,2024,4,38.82,0.0
MOLBA103,2025,1,22.3,0.0
MOLBA103,2025,2,18.77,0.0
MOLBA103,2025,3,12.0,0.0
MOLBA103,2025,4,9.91,0.0
MOLBA103,2026,1,5.85,0.0
MOLBA104,2024,2,34.7,0.0
MOLBA104,2024,3,35.48,0.0
MOLBA104,2024,4,36.0,0.0
MOLBA104,2025,1,35.25,0.0
MOLBA104,2025,2,27.26,0.0
MOLBA104,2025,3,20.0,0.0
MOLBA104,2025,4,19.33,0.0
MOLBA104,2026,1,20.0,0.0
MOLBA104,2026,2,20.0,0.0
MOLBA104,2026,3,20.0,0.0
MOLBA236,2024,3,2.96,0.0
MOLBA236,2024,4,8.0,0.0
MOLBA236,2025,1,8.0,0.0
MOLBA236,2025,2,8.0,0.0
MOLBA236,2025,3,8.0,0.0
MOLBA236,2025,4,7.24,0.0
MOLBA236,2026,1,4.0,0.0
MOLBA236,2026,2,4.0,0.0
MOLBA236,2026,3,1.35,0.0
MOLBADCG,2022,1,4.0,0.0
MOLBADCG,2022,2,4.0,0.0
MOLBADCG,2022,3,4.0,0.0
MOLBADCG,2022,4,3.73,0.0
MOLBAIDM,2025,4,3.78,0.0
MOLBAIDM,2026,1,2.81,0.0
MOLBAMD1,2022,1,2.77,0.0
MOLBARBC,2025,2,0.7,0.0
MOLBARBC,2025,3,4.0,0.0
MOLBARBC,2025,4,0.22,0.0
MOLBASEC,2025,2,2.17,0.0
MOLBASEC,2025,3,4.0,0.0
MOLBASEC,2025,4,1.38,0.0
MOLBSMQZ,2024,2,121.54,0.0
MOLBVBL2,2025,4,11.87,0.0
MOLBVBL2,2026,1,15.25,0.0
MOLBVBL2,2026,2,2.17,0.0
MOLCCBHI,2022,3,1.35,0.0
MOLCCBHI,2022,4,1.38,0.0
MOLCMDBL,2025,4,0.3,0.0
MOLCNAC,2024,1,2.2,0.0
MOLCOUAZ,2022,1,1.32,0.0
MOLCOUAZ,2022,2,1.0,0.0
MOLCOZCA,2025,2,5.25,0.0
MOLCOZCA,2025,3,0.63,0.0
MOLCPLBS,2025,3,23.39,0.0
MOLCRHS1,2024,4,6.73,0.0
MOLCRSEC,2023,1,2.64,0.0
MOLCRSEC,2023,2,7.35,3.13
MOLCRSEC,2023,3,15.43,3.3
MOLCRSEC,2023,4,7.73,1.73
MOLCRSEC,2024,1,0.86,0.0
MOLDCBA1,2022,1,0.92,0.0
MOLDCBA1,2022,2,4.0,0.0
MOLDCBA1,2022,3,4.0,0.0
MOLDCBA1,2022,4,3.91,0.0
MOLDCBA1,2023,1,4.0,0.0
MOLDCBA1,2023,2,4.0,0.0
MOLDCBA1,2023,3,4.0,0.0
MOLDCBA1,2023,4,4.0,0.0
MOLDCBA1,2024,1,4.0,0.0
MOLDCBA1,2024,2,4.0,0.0
MOLDCBA1,2024,3,2.65,0.0
MOLDCBA2,2022,1,5.49,0.0
MOLDCBA2,2022,2,17.83,0.0
MOLDCBA2,2022,3,17.35,0.0
MOLDCBA2,2022,4,12.93,0.0
MOLDCBA3,2022,1,6.24,0.0
MOLDCBA3,2022,2,36.48,0.0
MOLDCBA3,2022,3,14.85,0.0
MOLDCBA3,2022,4,1.38,0.0
MOLDCBA4,2022,2,10.96,0.0
MOLDCBA4,2022,3,10.3,0.0
MOLDCBA4,2022,4,1.38,0.0
MOLDCBA5,2022,2,13.52,0.0
MOLDCBA6,2022,2,24.35,0.0
MOLDCBA6,2022,3,34.04,0.0
MOLDCG01,2022,2,1.3,0.0
MOLDCG01,2022,3,4.0,0.0
MOLDCG01,2022,4,4.0,0.0
MOLDCG01,2023,1,4.0,0.0
MOLDCG01,2023,2,4.0,0.0
MOLDCG01,2023,3,4.0,0.0
MOLDCG01,2023,4,2.62,0.0
MOLDCG02,2022,2,1.91,0.0
MOLDCG02,2022,3,9.02,0.0
MOLDCG02,2022,4,11.82,0.0
MOLDCG03,2022,2,0.39,0.0
MOLDCG04,2022,3,12.43,0.0
MOLDCG04,2022,4,31.82,0.0
MOLDCG04,2023,1,23.34,0.0
MOLDCG04,2023,2,12.43,0.0
MOLDCG04,2023,3,2.7,0.0
MOLDCG05,2022,3,3.04,0.0
MOLDCG05,2022,4,1.82,0.0
MOLDCG06,2022,3,2.65,0.0
MOLDCG06,2022,4,4.0,0.0
MOLDCG07,2022,3,1.09,0.0
MOLDCG07,2022,4,4.76,0.0
MOLDCG07,2023,1,4.0,0.0
MOLDCG08,2022,4,4.49,0.0
MOLDCG08,2023,1,4.0,0.0
MOLDCG09,2022,4,6.04,0.0
MOLDCG11,2022,4,19.2,0.0
MOLDCG11,2023,1,26.0,0.0
MOLDCG11,2023,2,7.91,0.0
MOLDCG11,2023,3,7.96,0.0
MOLDCG12,2022,4,2.8,0.0
MOLDCG13,2022,4,3.24,0.0
MOLDCG13,2023,1,4.0,0.0
MOLDCG13,2023,2,4.0,0.0
MOLDCG13,2023,3,1.35,0.0
MOLDCG14,2022,4,2.18,0.0
MOLDCG14,2023,1,4.0,0.0
MOLDCG14,2023,2,4.0,0.0
MOLDCG14,2023,3,4.0,0.0
MOLDCG14,2023,4,4.0,0.0
MOLDCG14,2024,1,1.32,0.0
MOLDCG15,2022,4,2.36,0.0
MOLDCG15,2023,1,4.0,0.0
MOLDCG15,2023,2,4.0,0.0
MOLDCG15,2023,3,4.0,0.0
MOLDCG15,2023,4,4.0,0.0
MOLDCG15,2024,1,4.0,0.0
MOLDCG16,2022,4,2.0,0.0
MOLDCG16,2023,1,4.0,0.0
MOLDCG16,2023,2,2.13,0.0
MOLDCG17,2022,4,5.11,0.0
MOLDCG17,2023,1,11.56,0.0
MOLDCG17,2023,2,18.43,0.0
MOLDCG17,2023,3,17.3,0.0
MOLDCG17,2023,4,16.0,0.0
MOLDCG17,2024,1,14.07,0.0
MOLDCG18,2022,4,1.38,0.0
MOLDCG18,2023,1,1.36,0.0
MOLDCG19,2022,4,2.0,0.0
MOLDCG19,2023,1,4.0,0.0
MOLDCG19,2023,2,2.7,0.0
MOLDCG20,2022,4,1.38,0.0
MOLDCG20,2023,1,4.0,0.0
MOLDCG20,2023,2,4.0,0.0
MOLDCG20,2023,3,0.74,0.0
MOLDCG21,2022,4,1.6,0.0
MOLDCG21,2023,1,4.0,0.0
MOLDCG21,2023,2,4.0,0.0
MOLDCG21,2023,3,4.0,0.0
MOLDCG21,2023,4,4.0,0.0
MOLDCG22,2023,1,3.38,0.0
MOLDCG22,2023,2,4.0,0.0
MOLDCG23,2023,1,4.0,0.0
MOLDCG23,2023,2,4.0,0.0
MOLDCG23,2023,3,4.52,0.0
MOLDCG23,2023,4,4.0,0.0
MOLDCG23,2024,1,4.0,0.0
MOLDCG24,2023,1,4.0,0.0
MOLDCG24,2023,2,4.0,0.0
MOLDCG24,2023,3,3.7,0.0
MOLDCG25,2023,1,2.95,0.0
MOLDCG25,2023,2,1.26,0.0
MOLDCG26,2023,1,2.95,0.0
MOLDCG26,2023,2,2.22,0.0
MOLDCG26,2023,3,2.57,0.0
MOLDCG26,2023,4,4.0,0.0
MOLDCG26,2024,1,4.0,0.0
MOLDCG26,2024,2,4.0,0.0
MOLDCG26,2024,3,1.35,0.0
MOLDCG27,2023,1,2.64,0.0
MOLDCG27,2023,2,0.43,0.0
MOLDCG28,2023,1,2.64,0.0
MOLDCG28,2023,2,4.0,0.0
MOLDCG28,2023,3,4.0,0.0
MOLDCG28,2023,4,5.78,0.0
MOLDCG28,2024,1,4.0,0.0
MOLDCG29,2023,1,6.86,0.0
MOLDCG29,2023,2,11.04,0.0
MOLDCG29,2023,3,8.0,0.0
MOLDCG29,2023,4,6.62,0.0
MOLDCG29,2024,1,2.68,0.0
MOLDCG30,2023,2,4.0,0.0
MOLDCG30,2023,3,4.0,0.0
MOLDCG31,2023,2,2.7,0.0
MOLDCG32,2023,2,1.3,0.0
MOLDCG32,2023,3,4.0,0.0
MOLDCG33,2023,3,4.0,0.0
MOLDCG33,2023,4,4.0,0.0
MOLDCG33,2024,1,4.0,0.0
MOLDCG86,2023,4,4.0,0.0
MOLDCG86,2024,1,4.0,0.0
MOLDCG87,2023,4,4.0,0.0
MOLDCG87,2024,1,4.0,0.0
MOLDCPM1,2022,1,1.05,0.0
MOLDCPM1,2022,2,2.7,0.0
MOLDY25W,2025,4,4.0,0.0
MOLDY25W,2026,1,4.0,0.0
MOLDY25W,2026,2,4.0,0.0
MOLDY25W,2026,3,4.0,0.0
MOLE06MZ,2023,1,5.89,0.0
MOLEDCL1,2025,4,4.84,0.0
MOLEFBL2,2025,4,7.07,0.0
MOLEFBL2,2026,1,8.0,0.0
MOLENSTP,2024,1,1.14,0.0
MOLFPACD,2023,3,10.2,0.0
MOLFPADO,2022,1,22.02,0.0
MOLFPADO,2022,2,26.03,0.0
MOLFPAEE,2025,1,9.07,0.0
MOLFPAEE,2025,2,8.09,0.0
MOLFPAKS,2022,1,28.4,3.52
MOLFPAKS,2022,2,40.26,5.48
MOLFPAKS,2022,3,59.22,5.52
MOLFPAPD,2022,2,34.2,2.65
MOLFPAPD,2022,3,16.09,4.0
MOLFPAPD,2022,4,7.64,2.62
MOLFPBAS,2024,3,0.96,0.0
MOLFPBAS,2024,4,2.73,0.0
MOLFPBCY,2025,3,5.26,0.0
MOLFPBCY,2025,4,5.51,1.38
MOLFPBTM,2024,4,10.98,0.0
MOLFPCAI,2023,3,9.93,0.0
MOLFPCAI,2023,4,26.33,3.0
MOLFPCAI,2024,1,17.08,3.0
MOLFPCAI,2024,2,27.37,2.02
MOLFPCAI,2024,3,27.11,0.0
MOLFPCAI,2024,4,12.05,0.0
MOLFPCAI,2025,1,8.0,0.0
MOLFPCAI,2025,2,2.7,0.0
MOLFPCAV,2025,2,7.42,0.0
MOLFPCCA,2023,4,5.38,0.0
MOLFPCCA,2024,1,3.96,0.0
MOLFPCCS,2025,4,3.87,0.0
MOLFPCCS,2026,1,5.98,0.0
MOLFPCEG,2023,4,5.79,0.0
MOLFPCEG,2024,1,27.73,0.0
MOLFPCEG,2024,2,28.3,0.0
MOLFPCEN,2024,4,5.11,0.0
MOLFPCEN,2025,2,5.05,0.0
MOLFPCEN,2025,3,16.3,0.0
MOLFPCEN,2025,4,20.27,1.03
MOLFPCEN,2026,1,22.0,0.0
MOLFPCEN,2026,2,16.95,0.0
MOLFPCEN,2026,3,7.0,0.0
MOLFPCON,2022,4,0.81,0.0
MOLFPCON,2023,1,1.0,0.0
MOLFPCOV,2025,2,2.65,0.0
MOLFPCOV,2025,3,2.03,0.0
MOLFPCYR,2025,2,2.7,0.0
MOLFPCYR,2025,3,36.25,0.0
MOLFPCYR,2025,4,18.36,0.0
MOLFPCYR,2026,1,14.15,0.0
MOLFPCYR,2026,2,9.35,0.0
MOLFPDNT,2023,4,4.13,0.0
MOLFPDNT,2024,1,13.67,0.0
MOLFPEDI,2025,4,23.31,0.0
